Department,Year/Term,Metric,Value
PSC,2025-2026,Fill_Rate,0.79
PSYC,2025-2026,Fill_Rate,0.91
SOAN,2025-2026,Fill_Rate,0.81
THAD,2025-2026,Fill_Rate,0.81
AAS,2025-2026,Profit_Loss,($0.27)
ART,2025-2026,Profit_Loss,($0.04)
BIO,2025-2026,Profit_Loss,$0.48 
CHEM,2025-2026,Profit_Loss,$0.03 
CHS,2025-2026,Profit_Loss,($0.21)
COMM,2025-2026,Profit_Loss,$1.27 
EAS,2025-2026,Profit_Loss,$0.46 
ENG,2025-2026,Profit_Loss,$0.79 
GWS,2025-2026,Profit_Loss,$0.18 
HIS,2025-2026,Profit_Loss,$0.79 
JMP,2025-2026,Profit_Loss,$0.26 
LANG,2025-2026,Profit_Loss,$0.18 
MUS,2025-2026,Profit_Loss,($0.26)
PHI,2025-2026,Profit_Loss,$0.51 
PHY,2025-2026,Profit_Loss,$0.37 
PSC,2025-2026,Profit_Loss,$0.58 
PSYC,2025-2026,Profit_Loss,$0.88 
SOAN,2025-2026,Profit_Loss,$0.57 
THAD,2025-2026,Profit_Loss,($0.29)
CLAS,2025-2026,Profit_Loss,$0.29 
